S. No.,Name of State Road Transport Undertaking (SRTU),Number of Accidents - 2016-17,Number of Accidents - 2015-16, Number of Fatal Accidents - 2016-17, Number of Fatal Accidents - 2015-16,Effective Kilometres (Lakh)/Revenue Earning Kilometers (Lakh) - 2016-17,Effective Kilometres (Lakh)/Revenue Earning Kilometers (Lakh) - 2015-16,Number of Accidents per lakh Effective Kilometres - 2016-17,Number of Accidents per lakh Effective Kilometres - 2015-16,Number of Fatal Accidents per lakh Effective Kilometers - 2016-17,Number of Fatal Accidents per lakh Effective Kilometers - 2015-16
2.0,assam stc,76,31,5,6,266.89,300.69,0.28,0.1,0.02,0.02
4.0,bihar srtc,2,4,0,0,72.13,74.48,0.03,0.05,0.0,0.0
9.0,jammu and kashmir srtc,16,19,4,2,156.9,172.01,0.1,0.11,0.03,0.01
13.0,meghalaya stc,0,0,0,0,28.67,26.22,0.0,0.0,0.0,0.0
14.0,north bengal stc,160,113,31,33,573.56,558.96,0.28,0.2,0.05,0.06
17.0,odisha srtc,28,27,10,6,339.69,330.13,0.08,0.08,0.03,0.02
20.0,south bengal stc,65,61,12,15,471.45,447.51,0.14,0.14,0.03,0.03
22.0,tripura rtc,0,0,0,0,1.2,1.35,0.0,0.0,0.0,0.0
27.0,kadamba tc ltd.,77,70,3,4,298.98,309.37,0.26,0.23,0.01,0.01
37.0,andaman and nicobar st,4,3,1,1,106.03,105.8,0.04,0.03,0.01,0.01
38.0,arunachal pradesh st,0,2,0,0,82.0,72.0,0.0,0.03,0.0,0.0
39.0,chandigarh tu,202,154,9,6,404.95,394.87,0.5,0.39,0.02,0.02
41.0,mizoram st,2,1,0,0,5.99,6.08,0.33,0.16,0.0,0.0
42.0,nagaland st,0,1,0,1,45.1,53.98,0.0,0.02,0.0,0.02
43.0,state transport punjab,0,1,0,0,366.49,339.67,0.0,0.0,0.0,0.0
44.0,sikkim nt,0,0,0,0,22.86,18.98,0.0,0.0,0.0,0.0
48.0,navi mumbai mt,204,151,6,5,310.96,264.07,0.66,0.57,0.02,0.02
50.0,solapur mt,37,88,1,5,64.61,105.12,0.57,0.84,0.02,0.05
51.0,thane mt,65,59,2,3,122.55,130.94,0.53,0.45,0.02,0.02
55.0,meerut ciy tsl,19,12,5,4,80.54,88.29,0.24,0.14,0.06,0.05
